Адрес/Регистр,Значение
Регистр 0,0
Регистр 1,0
Регистр 2,0
Регистр 3,0
Регистр 4,0
Регистр 5,924
Регистр 6,0
Регистр 7,0
Память 0,0
Память 1,0
Память 2,0
Память 3,0
Память 4,0
Память 5,0
Память 6,0
Память 7,0
Память 8,0
Память 9,0
Память 10,0
Память 11,0
Память 12,0
Память 13,0
Память 14,0
Память 15,0
Память 16,0
Память 17,0
Память 18,0
Память 19,0
Память 20,0
Память 21,0
Память 22,0
Память 23,0
Память 24,0
Память 25,0
Память 26,0
Память 27,0
Память 28,0
Память 29,0
Память 30,0
Память 31,0
Память 32,0
Память 33,0
Память 34,0
Память 35,0
Память 36,0
Память 37,0
Память 38,0
Память 39,0
Память 40,0
Память 41,0
Память 42,0
Память 43,0
Память 44,0
Память 45,0
Память 46,0
Память 47,0
Память 48,0
Память 49,0
Память 50,0
Память 51,0
Память 52,0
Память 53,0
Память 54,0
Память 55,0
Память 56,0
Память 57,0
Память 58,0
Память 59,0
Память 60,0
Память 61,0
Память 62,0
Память 63,0
Память 64,0
Память 65,0
Память 66,0
Память 67,0
Память 68,0
Память 69,0
Память 70,0
Память 71,0
Память 72,0
Память 73,0
Память 74,0
Память 75,0
Память 76,0
Память 77,0
Память 78,0
Память 79,0
Память 80,0
Память 81,0
Память 82,0
Память 83,0
Память 84,0
Память 85,0
Память 86,0
Память 87,0
Память 88,0
Память 89,0
Память 90,0
Память 91,0
Память 92,0
Память 93,0
Память 94,0
Память 95,0
Память 96,0
Память 97,0
Память 98,0
Память 99,0
Память 100,0
Память 101,0
Память 102,0
Память 103,0
Память 104,0
Память 105,0
Память 106,0
Память 107,0
Память 108,0
Память 109,0
Память 110,0
Память 111,0
Память 112,0
Память 113,0
Память 114,0
Память 115,0
Память 116,0
Память 117,0
Память 118,0
Память 119,0
Память 120,0
Память 121,0
Память 122,0
Память 123,0
Память 124,0
Память 125,0
Память 126,0
Память 127,0
Память 128,0
Память 129,0
Память 130,0
Память 131,0
Память 132,0
Память 133,0
Память 134,0
Память 135,0
Память 136,0
Память 137,0
Память 138,0
Память 139,0
Память 140,0
Память 141,0
Память 142,0
Память 143,0
Память 144,0
Память 145,0
Память 146,0
Память 147,0
Память 148,0
Память 149,0
Память 150,0
Память 151,0
Память 152,0
Память 153,0
Память 154,0
Память 155,0
Память 156,0
Память 157,0
Память 158,0
Память 159,0
Память 160,0
Память 161,0
Память 162,0
Память 163,0
Память 164,0
Память 165,0
Память 166,0
Память 167,0
Память 168,0
Память 169,0
Память 170,0
Память 171,0
Память 172,0
Память 173,0
Память 174,0
Память 175,0
Память 176,0
Память 177,0
Память 178,0
Память 179,0
Память 180,0
Память 181,0
Память 182,0
Память 183,0
Память 184,0
Память 185,0
Память 186,0
Память 187,0
Память 188,0
Память 189,0
Память 190,0
Память 191,0
Память 192,0
Память 193,0
Память 194,0
Память 195,0
Память 196,0
Память 197,0
Память 198,0
Память 199,0
Память 200,0
Память 201,0
Память 202,0
Память 203,0
Память 204,0
Память 205,0
Память 206,0
Память 207,0
Память 208,0
Память 209,0
Память 210,0
Память 211,0
Память 212,0
Память 213,0
Память 214,0
Память 215,0
Память 216,0
Память 217,0
Память 218,0
Память 219,0
Память 220,0
Память 221,0
Память 222,0
Память 223,0
Память 224,0
Память 225,0
Память 226,0
Память 227,0
Память 228,0
Память 229,0
Память 230,0
Память 231,0
Память 232,0
Память 233,0
Память 234,0
Память 235,0
Память 236,0
Память 237,0
Память 238,0
Память 239,0
Память 240,0
Память 241,0
Память 242,0
Память 243,0
Память 244,0
Память 245,0
Память 246,0
Память 247,0
Память 248,0
Память 249,0
Память 250,0
Память 251,0
Память 252,0
Память 253,0
Память 254,0
Память 255,0
Память 256,0
Память 257,0
Память 258,0
Память 259,0
Память 260,0
Память 261,0
Память 262,0
Память 263,0
Память 264,0
Память 265,0
Память 266,0
Память 267,0
Память 268,0
Память 269,0
Память 270,0
Память 271,0
Память 272,0
Память 273,0
Память 274,0
Память 275,0
Память 276,0
Память 277,0
Память 278,0
Память 279,0
Память 280,0
Память 281,0
Память 282,0
Память 283,0
Память 284,0
Память 285,0
Память 286,0
Память 287,0
Память 288,0
Память 289,0
Память 290,0
Память 291,0
Память 292,0
Память 293,0
Память 294,0
Память 295,0
Память 296,0
Память 297,0
Память 298,0
Память 299,0
Память 300,0
Память 301,0
Память 302,0
Память 303,0
Память 304,0
Память 305,0
Память 306,0
Память 307,0
Память 308,0
Память 309,0
Память 310,0
Память 311,0
Память 312,0
Память 313,0
Память 314,0
Память 315,0
Память 316,0
Память 317,0
Память 318,0
Память 319,0
Память 320,0
Память 321,0
Память 322,0
Память 323,0
Память 324,0
Память 325,0
Память 326,0
Память 327,0
Память 328,0
Память 329,0
Память 330,0
Память 331,0
Память 332,0
Память 333,0
Память 334,0
Память 335,0
Память 336,0
Память 337,0
Память 338,0
Память 339,0
Память 340,0
Память 341,0
Память 342,0
Память 343,0
Память 344,0
Память 345,0
Память 346,0
Память 347,0
Память 348,0
Память 349,0
Память 350,0
Память 351,0
Память 352,0
Память 353,0
Память 354,0
Память 355,0
Память 356,0
Память 357,0
Память 358,0
Память 359,0
Память 360,0
Память 361,0
Память 362,0
Память 363,0
Память 364,0
Память 365,0
Память 366,0
Память 367,0
Память 368,0
Память 369,0
Память 370,0
Память 371,0
Память 372,0
Память 373,0
Память 374,0
Память 375,0
Память 376,0
Память 377,0
Память 378,0
Память 379,0
Память 380,0
Память 381,0
Память 382,0
Память 383,0
Память 384,0
Память 385,0
Память 386,0
Память 387,0
Память 388,0
Память 389,0
Память 390,0
Память 391,0
Память 392,0
Память 393,0
Память 394,0
Память 395,0
Память 396,0
Память 397,0
Память 398,0
Память 399,0
Память 400,0
Память 401,0
Память 402,0
Память 403,0
Память 404,0
Память 405,0
